game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,image_url,age,mechanic,owned,category,designer,num_votes
5478,Crazy Circus,1,10,20,20,20,2002,6.26459,https://cf.geekdo-images.com/original/img/sgncJNbyR5rO-cicacuXCx9I6hc=/0x0/pic1414458.jpg,8,Simultaneous Action Selection,644,"Animals, Puzzle, Real-time",Dominique Ehrhard,453
111173,Little Devils,3,6,15,15,15,2012,6.133,https://cf.geekdo-images.com/original/img/6uKq4PVIpPwqsIeswxhqq96aAE4=/0x0/pic1127412.jpg,8,Trick-taking,1250,Card Game,Michael Feldkötter,619
90190,The Secret of Monte Cristo,2,4,60,60,60,2011,6.20182,https://cf.geekdo-images.com/original/img/zvDgvnDgXFCMn490xI_v6uYuwZI=/0x0/pic899476.jpg,8,"Action Point Allowance System, Area Control / Area Influence, Variable Phase Order",1001,"Exploration, Novel-based","Charles Chevallier, Arnaud Urbon",545
32129,Taktika,2,2,20,20,20,2007,7.08641,https://cf.geekdo-images.com/original/img/WK6C_g8_7PVbvm-Mm8MgLlxy7Ww=/0x0/pic265909.jpg,0,none,195,"Action / Dexterity, Fantasy, Medieval",Ian Cooper (I),184
143782,Global Mogul,1,4,120,60,120,2013,7.04211,https://cf.geekdo-images.com/original/img/0W1LSaH8gvZgADoO7_hzYL24alU=/0x0/pic1778424.jpg,14,Worker Placement,433,Economic,Bill Crenshaw,190
4388,"Rome: Imperium, Circus Maximus, Hannibal vs Rome",2,5,60,60,60,2001,6.28667,https://cf.geekdo-images.com/original/img/lyr8UnFUsuwVMBxqdXzCXNVeCRc=/0x0/pic18900.jpg,8,"Area Control / Area Influence, Area Movement",624,"Ancient, Card Game, Political, Racing",Reiner Knizia,445
124390,"Goblins Drool, Fairies Rule!",1,4,15,15,15,2013,6.15968,https://cf.geekdo-images.com/original/img/X7ahJuBFUnpRWZPUl-Rh3vI8qto=/0x0/pic1392330.jpg,7,"Hand Management, Memory, Set Collection",1221,"Card Game, Children's Game, Educational, Fantasy, Humor",David Luis Sanhueza,595
14860,Clash for a Continent:  Battles of the American Revolution and French & Indian War,2,4,30,30,30,2005,7.23183,https://cf.geekdo-images.com/original/img/sRivACwLjHgjMrT6g3_RlAuOmUw=/0x0/pic80068.jpg,12,"Dice Rolling, Hex-and-Counter, Modular Board, Secret Unit Deployment",268,"Age of Reason, American Revolutionary War, Wargame","Matt Burchfield, Grant Wylie, Mike Wylie",172
131568,Codinca,2,4,30,30,30,2012,6.45194,https://cf.geekdo-images.com/original/img/LY42OIsgoYOj3p96V6ECAi4kJs0=/0x0/pic2995800.jpg,8,Tile Placement,768,Abstract Strategy,"Leonard Boyd, David Brashaw",364
366,Viva Pamplona!,2,6,45,45,45,1992,6.36056,https://cf.geekdo-images.com/original/img/6VGshvTOapv_nfg9DeSJW6fMV7M=/0x0/pic1111577.jpg,8,"Dice Rolling, Roll / Spin and Move",311,Racing,Wolfgang Kramer,377
